species,section,leaf_number,leaf_type,trace_mass_g,tree number,leaf_area_cm2
red maple,5,16,shade,0.424,0,55.62114264214958
red maple,5,17,sun,0.2956,1,38.861934221020604
red maple,5,18,shade,0.4574,0,59.980625206524245
red maple,5,19,shade,0.3186,0,41.863973112655856
red maple,5,20,sun,0.2418,2,31.83977368319554
red maple,5,21,sun,0.1441,1,19.087634565249278
red maple,5,22,shade,0.278,0,36.564721851769285
red maple,5,23,sun,0.498,3,65.27987646741082
red maple,5,24,shade,0.507,0,66.4545873380507
red maple,5,25,sun,0.216,2,28.472269187361217
red maple,5,26,shade,0.611,0,80.02902406544489
red maple,5,27,sun,0.4581,3,60.07199160757401
red maple,5,28,shade,0.2952,0,38.80972484899217
red maple,5,29,sun,0.2255,2,29.712241773036645
red maple,5,30,shade,0.3027,0,39.788650574525406
red maple,5,31,shade,0.42,0,55.09904892186518
red maple,5,32,sun,0.21,2,27.689128606934627
red maple,5,33,shade,0.4261,0,55.89524184529888
red maple,5,34,sun,0.1902,1,25.104764691526892
red maple,5,35,shade,0.3672,0,48.20741181411122
red maple,5,36,sun,0.5675,3,74.35125485735213
red maple,5,37,sun,0.5176,3,67.83813569680433
red maple,5,38,shade,0.2796,0,36.77355933988304
red maple,5,39,sun,0.2429,1,31.98334945627375
red maple,5,40,shade,0.4953,0,64.92746320621886
